iter	Passed	Remaining
0	4	4979
1	9	4779
2	15	5059
3	19	4926
4	23	4759
5	28	4663
6	33	4746
7	37	4657
8	41	4555
9	46	4632
10	51	4622
11	55	4576
12	59	4544
13	65	4599
14	69	4559
15	73	4526
16	79	4570
17	83	4549
18	87	4512
19	91	4467
20	97	4565
21	102	4551
22	106	4537
23	112	4577
24	116	4541
25	120	4501
26	124	4474
27	129	4504
28	133	4476
29	137	4455
30	142	4441
31	148	4479
32	152	4456
33	156	4440
34	161	4459
35	165	4443
36	171	4465
37	178	4519
38	183	4523
39	189	4545
40	196	4603
41	204	4667
42	215	4802
43	220	4780
44	228	4851
45	236	4897
46	248	5034
47	253	5032
48	267	5190
49	271	5158
50	278	5181
51	282	5151
52	286	5122
53	291	5105
54	295	5078
55	299	5052
56	304	5031
57	308	5015
58	312	4990
59	317	4968
60	321	4944
61	325	4921
62	329	4900
63	333	4879
64	337	4858
65	345	4893
66	349	4871
67	354	4854
68	363	4901
69	367	4880
70	371	4860
71	378	4882
72	382	4862
73	387	4843
74	393	4857
75	398	4843
76	402	4827
77	408	4831
78	412	4813
79	417	4795
80	422	4794
81	426	4777
82	430	4758
83	434	4739
84	440	4740
85	444	4722
86	448	4708
87	452	4692
88	459	4707
89	467	4725
90	473	4731
91	478	4727
92	486	4740
93	491	4736
94	497	4743
95	508	4786
96	515	4801
97	527	4853
98	535	4877
99	554	4993
100	564	5027
101	579	5101
102	590	5142
103	598	5157
104	611	5210
105	621	5243
106	627	5235
107	635	5245
108	640	5237
109	656	5309
110	662	5303
111	676	5365
112	689	5409
113	694	5400
114	706	5435
115	709	5409
116	716	5403
117	724	5415
118	731	5413
119	738	5416
120	743	5397
121	749	5394
122	753	5373
123	757	5352
124	761	5330
125	767	5326
126	772	5306
127	776	5286
128	781	5277
129	786	5261
130	790	5242
131	794	5225
132	801	5223
133	806	5213
134	811	5197
135	817	5193
136	822	5181
137	826	5163
138	833	5164
139	838	5152
140	843	5137
141	852	5149
142	859	5149
143	870	5174
144	876	5170
145	888	5198
146	892	5181
147	903	5202
148	908	5189
149	920	5217
150	925	5202
151	934	5215
152	939	5199
153	947	5204
154	952	5190
155	956	5173
156	962	5169
157	966	5153
158	971	5137
159	976	5126
160	981	5112
161	986	5100
162	990	5087
163	996	5077
164	1000	5062
165	1004	5046
166	1010	5038
167	1014	5024
168	1018	5009
169	1022	4993
170	1029	4989
171	1033	4975
172	1038	4965
173	1045	4962
174	1049	4947
175	1053	4932
176	1060	4930
177	1064	4916
178	1069	4905
179	1073	4891
180	1078	4881
181	1083	4868
182	1087	4853
183	1093	4848
184	1096	4832
185	1100	4818
186	1106	4809
187	1110	4796
188	1114	4782
189	1118	4769
190	1126	4769
191	1130	4755
192	1134	4743
193	1140	4738
194	1144	4724
195	1148	4711
196	1152	4698
197	1158	4691
198	1162	4678
199	1165	4661
200	1169	4649
201	1174	4641
202	1178	4627
203	1182	4615
204	1188	4609
205	1192	4597
206	1196	4585
207	1201	4573
208	1207	4571
209	1214	4567
210	1220	4565
211	1227	4561
212	1234	4562
213	1242	4564
214	1288	4702
215	1301	4723
216	1313	4738
217	1326	4756
218	1333	4754
219	1358	4815
220	1364	4809
221	1370	4803
222	1378	4801
223	1382	4789
224	1392	4797
225	1399	4791
226	1410	4802
227	1415	4791
228	1425	4797
229	1429	4786
230	1434	4776
231	1456	4822
232	1460	4809
233	1464	4793
234	1472	4794
235	1477	4782
236	1481	4769
237	1488	4767
238	1492	4752
239	1496	4739
240	1505	4740
241	1509	4728
242	1514	4716
243	1522	4717
244	1528	4710
245	1541	4726
246	1546	4714
247	1557	4722
248	1561	4710
249	1571	4714
250	1578	4709
251	1589	4717
252	1594	4708
253	1604	4713
254	1610	4705
255	1619	4706
256	1626	4701
257	1639	4714
258	1643	4703
259	1654	4708
260	1658	4695
261	1662	4681
262	1672	4687
263	1676	4675
264	1686	4678
265	1690	4665
266	1695	4653
267	1702	4649
268	1706	4636
269	1710	4624
270	1716	4618
271	1720	4606
272	1724	4593
273	1730	4585
274	1735	4575
275	1739	4563
276	1743	4551
277	1749	4542
278	1753	4530
279	1757	4518
280	1762	4510
281	1767	4499
282	1771	4486
283	1775	4475
284	1780	4467
285	1784	4454
286	1788	4443
287	1792	4431
288	1798	4423
289	1802	4411
290	1806	4400
291	1811	4391
292	1815	4380
293	1819	4369
294	1823	4358
295	1829	4352
296	1833	4340
297	1837	4328
298	1841	4318
299	1847	4309
300	1850	4298
301	1855	4287
302	1861	4282
303	1865	4271
304	1869	4261
305	1873	4249
306	1879	4241
307	1883	4230
308	1886	4218
