iter	Logloss	Accuracy
0	0.6858279351	0.8018672199
1	0.6790873482	0.8023858921
2	0.6732096425	0.8049792531
3	0.6668332478	0.8065352697
4	0.6610397966	0.8080912863
5	0.655747492	0.8080912863
6	0.6501233359	0.8106846473
7	0.6450721104	0.8101659751
8	0.6394004407	0.8091286307
9	0.6342189975	0.8065352697
10	0.6293603363	0.8054979253
11	0.6247886018	0.8023858921
12	0.6202666436	0.8013485477
13	0.615558524	0.8054979253
14	0.6109990823	0.8023858921
15	0.6064316948	0.8029045643
16	0.6028064401	0.8034232365
17	0.5985192823	0.8023858921
18	0.5943735936	0.8034232365
19	0.590597016	0.8044605809
20	0.5866681575	0.8054979253
21	0.582840617	0.8049792531
22	0.5792452579	0.8065352697
23	0.5757512517	0.8060165975
24	0.572299412	0.8065352697
25	0.5690178639	0.8060165975
26	0.5655897092	0.8054979253
27	0.5627488726	0.8070539419
28	0.5597329184	0.8049792531
29	0.5572247527	0.8060165975
30	0.5544277844	0.8060165975
31	0.5515570286	0.8054979253
32	0.5485819284	0.8054979253
33	0.5460617878	0.8044605809
34	0.543425416	0.8039419087
35	0.5407170494	0.8044605809
36	0.538376538	0.8039419087
37	0.5357991445	0.8054979253
38	0.5332132294	0.8054979253
39	0.5308514457	0.8065352697
40	0.5284945446	0.8070539419
41	0.5261661818	0.8060165975
42	0.523817825	0.8054979253
43	0.5216634702	0.8060165975
44	0.5196273897	0.8065352697
45	0.5178347037	0.8060165975
46	0.5158183247	0.8060165975
47	0.5138098727	0.8060165975
48	0.5126454331	0.8075726141
49	0.5108721589	0.8054979253
50	0.5090012817	0.8060165975
51	0.5070874666	0.8065352697
52	0.5052391844	0.8060165975
53	0.5033238281	0.8065352697
54	0.5015787243	0.8065352697
55	0.4998648882	0.8065352697
56	0.498397912	0.8065352697
57	0.4969013633	0.8065352697
58	0.4956335643	0.8065352697
59	0.4939849481	0.8065352697
60	0.4928330703	0.8065352697
61	0.4913330333	0.8065352697
62	0.4898975084	0.8065352697
63	0.4884689662	0.8065352697
64	0.4873195848	0.8065352697
65	0.4859784773	0.8054979253
66	0.4848365999	0.8060165975
67	0.483547317	0.8060165975
68	0.4824045268	0.8060165975
69	0.4811387111	0.8060165975
70	0.4801474642	0.8054979253
71	0.4787998161	0.8060165975
72	0.4777030721	0.8060165975
73	0.4766951133	0.8065352697
74	0.4756698427	0.8070539419
75	0.474343802	0.8080912863
76	0.4735549286	0.8080912863
77	0.4725567054	0.8080912863
78	0.4715372178	0.8070539419
79	0.4705263198	0.8070539419
80	0.4697237285	0.8070539419
81	0.4687874179	0.8070539419
82	0.4678921575	0.8070539419
83	0.4669687458	0.8070539419
84	0.4661534447	0.8075726141
85	0.4650134618	0.8075726141
86	0.464156161	0.8086099585
87	0.4634544367	0.8075726141
88	0.4625593032	0.8075726141
89	0.4617396093	0.8080912863
90	0.4611040971	0.8080912863
91	0.460228935	0.8080912863
92	0.4594898912	0.8086099585
93	0.4588594921	0.8091286307
94	0.4580746144	0.8091286307
95	0.4573955098	0.8091286307
96	0.4566540184	0.8096473029
97	0.4559953703	0.8101659751
98	0.4553566006	0.8101659751
99	0.4547628581	0.8101659751
100	0.4539933535	0.8101659751
101	0.4533601818	0.8112033195
102	0.4526890936	0.8112033195
103	0.4520291509	0.8127593361
104	0.4513961045	0.8122406639
105	0.4507462481	0.8137966805
106	0.4503586612	0.8137966805
107	0.4497033292	0.8143153527
108	0.4490040412	0.8137966805
109	0.4483911839	0.8143153527
110	0.4478130569	0.8143153527
111	0.4471661485	0.8153526971
112	0.4465749111	0.8158713693
113	0.4458832881	0.8153526971
114	0.4452613387	0.8153526971
115	0.4446515885	0.8158713693
116	0.4440810643	0.8153526971
117	0.4433597207	0.8163900415
118	0.4426486292	0.8179460581
119	0.4421584231	0.8169087137
120	0.4417006683	0.8163900415
121	0.4410094852	0.8158713693
122	0.4404204922	0.8184647303
123	0.4398707074	0.8184647303
124	0.4393160946	0.8184647303
125	0.4387357647	0.8184647303
126	0.4383983224	0.8200207469
127	0.4381116169	0.8200207469
128	0.4375176035	0.8210580913
129	0.436829553	0.8215767635
130	0.4363885455	0.8226141079
131	0.4357472645	0.8220954357
132	0.4353018681	0.8220954357
133	0.4347505774	0.8215767635
134	0.4342891923	0.8220954357
135	0.4337686778	0.8226141079
136	0.4331362418	0.8226141079
137	0.4327421749	0.8231327801
138	0.432326283	0.8231327801
139	0.4316731661	0.8226141079
140	0.4312614184	0.8226141079
141	0.4308099021	0.8236514523
142	0.4304111112	0.8226141079
143	0.4299629168	0.8236514523
144	0.4295383372	0.8231327801
145	0.4291277209	0.8236514523
146	0.4287738907	0.8236514523
147	0.4282411017	0.8241701245
148	0.4278352089	0.8241701245
149	0.4274291967	0.8246887967
150	0.4269753973	0.8257261411
151	0.4265963526	0.8262448133
152	0.4262689099	0.8257261411
153	0.4258568905	0.8252074689
154	0.4255785046	0.8252074689
155	0.4250703135	0.8262448133
156	0.4247394274	0.8267634855
157	0.4242993185	0.8262448133
158	0.4239466545	0.8262448133
159	0.4234102742	0.8267634855
160	0.423040901	0.8267634855
161	0.4226391132	0.8262448133
162	0.4223382438	0.8262448133
163	0.4220293972	0.8262448133
164	0.4217628149	0.8262448133
165	0.4214079318	0.8267634855
166	0.4208233802	0.8267634855
167	0.42054301	0.8267634855
168	0.4202613478	0.8272821577
169	0.4199036735	0.8278008299
170	0.4194673638	0.8278008299
171	0.4191233017	0.8278008299
172	0.41874321	0.8278008299
173	0.4183225185	0.8278008299
