iter	Passed	Remaining
0	16	16330
1	29	14875
2	43	14303
3	55	13934
4	68	13610
5	83	13865
6	97	13768
7	109	13586
8	121	13385
9	134	13308
10	147	13221
11	159	13114
12	172	13091
13	184	13024
14	199	13104
15	214	13172
16	231	13404
17	248	13547
18	264	13654
19	289	14161
20	304	14203
21	317	14120
22	331	14071
23	351	14298
24	363	14188
25	376	14090
26	389	14018
27	407	14139
28	426	14265
29	459	14862
30	479	14980
31	499	15097
32	518	15181
33	531	15099
34	544	15019
35	557	14926
36	569	14818
37	582	14735
38	595	14661
39	608	14594
40	620	14513
41	633	14440
42	645	14365
43	657	14291
44	670	14222
45	683	14174
46	695	14105
47	705	13990
48	718	13935
49	730	13883
50	743	13834
51	756	13796
52	769	13746
53	781	13698
54	796	13678
55	809	13639
56	822	13604
57	835	13572
58	850	13561
59	864	13539
60	879	13536
61	893	13518
62	907	13491
63	920	13468
64	934	13443
65	952	13482
66	973	13552
67	998	13689
68	1020	13764
69	1038	13795
70	1052	13775
71	1072	13818
72	1085	13786
73	1098	13742
74	1111	13708
75	1123	13654
76	1136	13619
77	1148	13571
78	1161	13545
79	1174	13509
80	1188	13483
81	1201	13449
82	1214	13417
83	1226	13379
84	1239	13342
85	1253	13322
86	1272	13358
87	1287	13342
88	1300	13310
89	1313	13285
90	1326	13250
91	1344	13266
92	1364	13302
93	1377	13272
94	1396	13306
95	1415	13331
96	1429	13308
97	1448	13327
98	1461	13305
99	1480	13323
100	1493	13297
101	1508	13284
102	1537	13386
103	1557	13414
104	1576	13441
105	1596	13462
106	1614	13473
107	1630	13470
108	1644	13438
109	1657	13409
110	1673	13403
111	1686	13370
112	1698	13332
113	1711	13299
114	1724	13271
115	1740	13261
116	1758	13273
117	1778	13297
118	1798	13314
119	1814	13304
120	1830	13298
121	1843	13265
122	1856	13235
123	1870	13214
124	1884	13190
125	1897	13160
126	1909	13126
127	1921	13091
128	1935	13065
129	1948	13040
130	1966	13045
131	1982	13037
132	1998	13026
133	2015	13023
134	2031	13016
135	2046	13002
136	2061	12985
137	2076	12971
138	2093	12966
139	2111	12972
140	2134	13002
141	2151	13002
142	2173	13026
143	2190	13018
144	2210	13031
145	2226	13020
146	2244	13021
147	2268	13059
148	2294	13105
149	2312	13102
150	2328	13092
151	2344	13077
152	2360	13065
153	2376	13053
154	2392	13042
155	2408	13032
156	2425	13024
157	2442	13018
158	2461	13019
159	2477	13008
160	2493	12992
161	2509	12981
162	2525	12969
163	2542	12958
164	2558	12945
165	2574	12935
166	2590	12923
167	2608	12916
168	2654	13052
169	2704	13202
170	2734	13254
171	2756	13267
172	2773	13257
173	2790	13245
174	2806	13230
175	2822	13213
176	2839	13201
177	2855	13186
178	2872	13177
179	2887	13154
180	2904	13141
181	2926	13151
182	2945	13152
183	2962	13140
184	2981	13135
185	2997	13117
186	3013	13102
187	3029	13085
188	3045	13067
189	3062	13054
190	3078	13041
191	3095	13024
192	3111	13008
193	3127	12994
194	3144	12980
195	3162	12971
196	3179	12960
197	3197	12950
198	3213	12934
199	3225	12902
200	3257	12948
201	3279	12955
202	3296	12940
203	3314	12934
204	3331	12918
205	3347	12903
206	3364	12887
207	3380	12871
208	3396	12853
209	3413	12841
210	3430	12829
211	3447	12814
212	3465	12805
213	3483	12793
214	3500	12782
215	3517	12768
216	3534	12754
217	3551	12738
218	3567	12722
219	3584	12707
220	3600	12689
221	3617	12676
222	3635	12667
223	3654	12661
224	3673	12651
225	3690	12640
226	3708	12629
227	3725	12615
228	3747	12617
229	3782	12662
230	3817	12710
231	3859	12777
232	3879	12770
233	3894	12747
234	3911	12732
235	3928	12716
236	3944	12699
237	3958	12672
238	3970	12643
239	3986	12624
240	4003	12608
241	4022	12599
242	4050	12619
243	4074	12624
244	4104	12647
245	4122	12636
246	4145	12638
247	4163	12624
248	4183	12616
249	4201	12605
250	4220	12595
251	4240	12587
252	4260	12579
253	4279	12569
254	4297	12556
255	4316	12545
256	4336	12537
257	4366	12558
258	4386	12548
259	4405	12539
260	4424	12528
261	4440	12507
262	4455	12486
263	4471	12464
264	4487	12447
265	4504	12430
266	4520	12410
267	4536	12391
268	4551	12369
269	4568	12352
270	4586	12338
271	4606	12329
272	4622	12308
273	4637	12288
274	4654	12269
275	4671	12254
276	4687	12233
277	4703	12215
278	4719	12195
279	4735	12176
280	4751	12157
281	4767	12139
282	4782	12117
283	4800	12101
284	4816	12083
285	4830	12060
286	4848	12044
287	4876	12056
288	4909	12078
289	4965	12157
290	4986	12148
291	5004	12134
292	5024	12123
293	5044	12112
294	5064	12102
295	5083	12089
296	5100	12072
297	5119	12059
