iter	Passed	Remaining
0	7	7250
1	13	6625
2	18	6213
3	24	6205
4	30	6104
5	36	6006
6	42	5959
7	48	5957
8	54	6032
9	60	6012
10	66	5935
11	72	5987
12	78	5942
13	83	5898
14	89	5900
15	95	5861
16	100	5815
17	107	5839
18	112	5806
19	119	5856
20	125	5871
21	131	5834
22	138	5865
23	147	6003
24	155	6073
25	161	6045
26	167	6037
27	174	6044
28	179	6005
29	186	6021
30	191	5994
31	197	5961
32	203	5969
33	209	5938
34	214	5905
35	220	5901
36	225	5880
37	231	5855
38	237	5855
39	242	5830
40	248	5820
41	254	5802
42	259	5780
43	265	5776
44	271	5757
45	276	5738
46	282	5735
47	288	5713
48	293	5697
49	299	5695
50	305	5681
51	310	5663
52	316	5662
53	322	5648
54	329	5665
55	337	5689
56	342	5670
57	348	5663
58	354	5647
59	359	5628
60	365	5625
61	370	5606
62	375	5591
63	382	5593
64	387	5580
65	393	5563
66	399	5561
67	404	5548
68	410	5541
69	416	5534
70	421	5520
71	427	5506
72	433	5499
73	438	5486
74	444	5488
75	451	5488
76	456	5478
77	464	5486
78	469	5476
79	475	5465
80	481	5462
81	486	5449
82	492	5438
83	497	5429
84	503	5415
85	508	5403
86	513	5393
87	518	5377
88	523	5362
89	529	5356
90	534	5343
91	539	5328
92	545	5323
93	550	5310
94	556	5297
95	562	5294
96	567	5282
97	572	5269
98	578	5264
99	583	5252
100	588	5240
101	594	5236
102	599	5225
103	605	5213
104	611	5209
105	616	5197
106	621	5186
107	626	5178
108	632	5167
109	637	5157
110	642	5148
111	648	5138
112	653	5127
113	658	5116
114	663	5106
115	668	5096
116	674	5087
117	679	5076
118	684	5066
119	689	5055
120	694	5045
121	699	5035
122	704	5025
123	710	5015
124	715	5006
125	720	4995
126	725	4985
127	730	4975
128	735	4968
129	741	4959
130	745	4948
131	751	4938
132	756	4929
133	761	4921
134	766	4911
135	771	4902
136	776	4892
137	781	4883
138	787	4874
139	792	4865
140	797	4856
141	802	4848
142	807	4839
143	813	4833
144	818	4824
145	823	4816
146	828	4809
147	835	4811
148	842	4810
149	848	4807
150	854	4805
151	860	4802
152	866	4795
153	871	4786
154	876	4778
155	881	4769
156	886	4760
157	891	4752
158	896	4743
159	901	4735
160	907	4726
161	911	4717
162	917	4711
163	922	4704
164	927	4696
165	933	4690
166	938	4681
167	943	4673
168	949	4666
169	954	4659
170	959	4652
171	964	4644
172	970	4638
173	975	4630
174	980	4622
175	986	4618
176	991	4611
177	996	4603
178	1002	4599
179	1007	4591
180	1013	4584
181	1018	4579
182	1024	4571
183	1029	4564
184	1035	4560
185	1040	4552
186	1045	4545
187	1051	4541
188	1056	4534
189	1061	4526
190	1067	4523
191	1075	4524
192	1084	4532
193	1092	4537
194	1099	4537
195	1104	4530
196	1110	4524
197	1116	4522
198	1122	4519
199	1130	4520
200	1136	4518
201	1143	4515
202	1149	4512
203	1154	4504
204	1159	4497
205	1166	4494
206	1171	4488
207	1178	4488
208	1185	4485
209	1191	4481
210	1197	4478
211	1204	4478
212	1211	4475
213	1216	4467
214	1221	4460
215	1227	4454
216	1232	4446
217	1237	4438
218	1242	4430
219	1247	4423
220	1252	4416
221	1257	4408
222	1263	4403
223	1268	4395
224	1273	4387
225	1279	4383
226	1285	4376
227	1290	4369
228	1296	4365
229	1301	4358
230	1306	4350
231	1312	4345
232	1317	4337
233	1322	4329
234	1328	4324
235	1333	4316
236	1338	4308
237	1344	4304
238	1349	4297
239	1354	4290
240	1360	4285
241	1365	4277
242	1370	4270
243	1376	4265
244	1381	4258
245	1386	4250
246	1392	4245
247	1397	4238
248	1402	4230
249	1408	4224
250	1413	4217
251	1418	4209
252	1424	4204
253	1429	4197
254	1434	4190
255	1440	4185
256	1445	4178
257	1450	4171
258	1457	4169
259	1462	4162
260	1467	4155
261	1473	4150
262	1478	4143
263	1483	4136
264	1489	4131
265	1494	4124
266	1499	4117
267	1505	4112
268	1510	4104
269	1515	4097
270	1521	4092
271	1526	4085
272	1531	4078
273	1537	4073
274	1542	4065
275	1547	4058
276	1551	4050
277	1557	4045
278	1562	4038
279	1567	4031
280	1573	4026
281	1578	4020
282	1583	4012
283	1590	4008
284	1595	4003
285	1601	3996
286	1607	3992
287	1612	3987
288	1618	3981
289	1623	3975
290	1629	3968
291	1634	3963
292	1639	3956
293	1644	3949
294	1649	3942
295	1655	3937
296	1660	3930
297	1665	3923
298	1671	3918
299	1676	3911
300	1681	3903
301	1687	3899
302	1692	3892
303	1697	3885
304	1703	3880
305	1708	3874
306	1713	3867
307	1719	3863
308	1724	3856
309	1729	3849
310	1735	3844
311	1740	3837
312	1745	3831
313	1751	3825
314	1756	3818
315	1760	3811
316	1767	3807
317	1772	3800
318	1777	3793
319	1783	3789
320	1788	3782
321	1793	3776
322	1799	3771
323	1804	3764
324	1809	3757
325	1815	3752
326	1820	3746
327	1825	3739
328	1831	3734
329	1836	3727
330	1841	3721
331	1846	3716
332	1852	3709
333	1857	3703
334	1862	3697
335	1868	3691
336	1873	3685
337	1878	3678
338	1883	3673
339	1888	3666
340	1893	3659
341	1899	3654
342	1905	3650
343	1912	3647
344	1918	3641
345	1924	3638
346	1931	3634
347	1937	3630
348	1946	3630
349	1952	3625
350	1957	3618
351	1962	3613
352	1967	3606
353	1972	3599
354	1978	3594
355	1983	3588
356	1988	3581
357	1994	3576
358	1999	3570
359	2004	3563
360	2010	3558
361	2015	3552
362	2020	3546
363	2026	3540
364	2031	3534
365	2036	3527
366	2041	3521
367	2047	3515
368	2052	3509
369	2057	3502
370	2062	3497
371	2068	3491
372	2073	3484
373	2078	3479
374	2083	3472
375	2088	3466
376	2094	3461
377	2099	3454
378	2104	3448
379	2110	3443
380	2115	3436
381	2120	3430
382	2126	3425
383	2131	3419
384	2136	3412
385	2142	3407
386	2147	3401
387	2152	3394
388	2158	3390
389	2163	3383
390	2168	3377
391	2174	3372
392	2179	3365
393	2184	3359
394	2190	3354
395	2194	3347
396	2200	3341
397	2206	3337
398	2211	3331
399	2216	3325
400	2222	3320
401	2227	3313
402	2232	3307
403	2237	3301
404	2242	3295
405	2247	3288
406	2253	3282
407	2258	3277
408	2260	3265
409	2265	3259
410	2270	3253
411	2275	3248
412	2281	3242
413	2286	3235
414	2291	3230
415	2296	3223
416	2301	3217
417	2307	3212
418	2312	3206
419	2317	3200
420	2323	3195
421	2328	3189
422	2333	3183
423	2339	3177
424	2344	3171
425	2348	3165
426	2354	3160
427	2360	3154
428	2365	3148
429	2371	3143
430	2376	3137
431	2381	3131
432	2387	3126
433	2392	3120
434	2397	3114
435	2403	3109
436	2408	3103
437	2413	3096
438	2419	3091
439	2424	3085
440	2429	3079
441	2435	3074
442	2440	3068
443	2445	3062
444	2452	3058
445	2457	3052
446	2462	3046
447	2467	3040
448	2472	3034
449	2478	3029
450	2484	3024
451	2489	3018
452	2494	3012
453	2500	3007
454	2505	3000
455	2510	2994
456	2515	2989
457	2520	2983
458	2525	2977
459	2531	2971
460	2537	2966
