iter	Passed	Remaining
0	6	6795
1	13	6611
2	20	6756
3	27	6860
4	35	7066
5	43	7184
6	49	7054
7	56	7027
8	63	6938
9	69	6867
10	75	6813
11	82	6778
12	89	6763
13	95	6712
14	101	6664
15	107	6606
16	113	6585
17	120	6576
18	126	6523
19	132	6502
20	139	6482
21	145	6465
22	151	6444
23	157	6414
24	164	6401
25	170	6372
26	175	6333
27	181	6307
28	187	6273
29	193	6262
30	201	6296
31	209	6335
32	217	6362
33	223	6362
34	231	6390
35	239	6404
36	246	6418
37	259	6567
38	269	6628
39	277	6671
40	286	6694
41	294	6711
42	302	6736
43	311	6761
44	324	6878
45	331	6885
46	338	6860
47	345	6853
48	352	6850
49	359	6830
50	365	6793
51	371	6770
52	377	6747
53	383	6720
54	389	6693
55	396	6681
56	409	6781
57	417	6778
58	423	6757
59	429	6730
60	434	6693
61	441	6676
62	447	6649
63	452	6624
64	459	6607
65	465	6589
66	472	6585
67	479	6571
68	486	6564
69	493	6562
70	500	6554
71	507	6544
72	515	6539
73	523	6556
74	530	6539
75	536	6523
76	543	6516
77	549	6497
78	555	6472
79	560	6444
80	566	6425
81	571	6402
82	578	6388
83	584	6374
84	590	6361
85	596	6339
86	602	6324
87	610	6323
88	617	6324
89	624	6313
90	630	6299
91	636	6285
92	643	6272
93	649	6260
94	656	6256
95	663	6248
96	670	6245
97	677	6234
98	683	6223
99	690	6211
100	696	6199
101	703	6192
102	710	6183
103	716	6171
104	722	6160
105	729	6152
106	735	6142
107	742	6131
108	748	6120
109	755	6111
110	762	6103
111	769	6097
112	775	6086
113	781	6077
114	788	6066
115	794	6054
116	800	6044
117	807	6033
118	813	6020
119	819	6011
120	826	6001
121	832	5991
122	838	5981
123	845	5972
124	852	5964
125	858	5955
126	864	5941
127	870	5930
128	877	5921
129	883	5911
130	889	5902
131	895	5889
132	901	5879
133	908	5871
134	915	5868
135	923	5864
136	930	5860
137	936	5852
138	944	5849
139	951	5845
140	958	5841
141	966	5841
142	973	5835
143	980	5830
144	988	5826
145	994	5819
146	1001	5812
147	1008	5804
148	1015	5800
149	1023	5798
150	1031	5798
151	1037	5789
152	1044	5782
153	1050	5773
154	1057	5764
155	1063	5756
156	1070	5747
157	1077	5741
158	1083	5733
159	1090	5724
160	1096	5715
161	1103	5706
162	1109	5697
163	1115	5688
164	1122	5680
165	1128	5671
166	1135	5661
167	1141	5652
168	1148	5645
169	1154	5637
170	1161	5628
171	1167	5621
172	1174	5613
173	1180	5603
174	1187	5597
175	1193	5588
176	1200	5580
177	1206	5573
178	1213	5564
179	1219	5556
180	1226	5550
181	1233	5541
182	1239	5533
183	1245	5525
184	1252	5516
185	1258	5507
186	1264	5498
187	1271	5490
188	1277	5482
189	1283	5472
190	1290	5465
191	1296	5456
192	1302	5448
193	1309	5439
194	1315	5431
195	1322	5423
196	1328	5414
197	1336	5411
198	1343	5407
199	1350	5403
200	1357	5396
201	1364	5391
202	1371	5385
203	1379	5380
204	1386	5376
205	1393	5371
206	1400	5366
207	1407	5361
208	1414	5355
209	1422	5350
210	1428	5342
211	1435	5334
212	1442	5328
213	1449	5323
214	1456	5318
215	1463	5311
216	1470	5306
217	1477	5300
218	1484	5295
219	1491	5289
220	1498	5282
221	1506	5278
222	1512	5270
223	1520	5266
224	1526	5258
225	1533	5251
226	1540	5246
227	1548	5243
228	1556	5239
229	1562	5231
230	1569	5223
231	1575	5215
232	1582	5207
233	1588	5199
234	1594	5190
235	1600	5182
236	1607	5176
237	1614	5168
238	1620	5159
239	1626	5151
240	1633	5143
241	1639	5136
242	1647	5132
243	1653	5124
244	1660	5116
245	1666	5109
246	1673	5102
247	1679	5094
248	1686	5086
249	1693	5080
250	1700	5073
251	1707	5067
252	1714	5061
253	1720	5054
254	1727	5047
255	1734	5042
256	1741	5035
257	1748	5029
258	1755	5023
259	1763	5018
260	1770	5012
261	1777	5006
262	1784	5000
263	1795	5005
264	1802	4999
265	1809	4994
266	1816	4987
267	1823	4980
268	1830	4975
269	1837	4967
270	1844	4961
271	1851	4954
272	1858	4948
273	1865	4942
274	1873	4940
275	1880	4933
276	1887	4927
277	1894	4920
278	1900	4912
279	1907	4905
280	1914	4898
281	1921	4891
282	1927	4884
283	1934	4877
284	1941	4870
285	1947	4862
286	1954	4854
287	1960	4846
288	1966	4839
289	1976	4839
290	1985	4837
291	1994	4835
292	2001	4830
293	2009	4825
294	2016	4819
295	2024	4814
296	2031	4808
297	2046	4819
298	2059	4828
299	2067	4824
300	2078	4827
301	2088	4826
302	2095	4820
303	2103	4816
304	2110	4808
305	2116	4800
306	2123	4793
307	2129	4784
308	2136	4776
309	2142	4769
310	2150	4763
311	2156	4755
312	2162	4747
313	2169	4739
314	2175	4731
315	2182	4723
316	2188	4715
317	2195	4707
318	2202	4701
319	2208	4693
320	2214	4685
321	2221	4677
322	2227	4669
323	2234	4661
324	2240	4652
325	2246	4645
326	2253	4637
327	2259	4629
328	2265	4621
329	2271	4612
330	2277	4603
331	2283	4594
332	2290	4587
333	2296	4579
334	2302	4571
335	2309	4563
336	2314	4554
337	2321	4546
338	2327	4538
339	2333	4530
340	2340	4523
341	2346	4515
342	2353	4507
343	2359	4499
344	2366	4492
345	2372	4484
346	2378	4476
347	2385	4468
348	2391	4460
349	2397	4453
350	2405	4447
351	2412	4441
352	2419	4434
353	2426	4428
354	2434	4422
355	2441	4416
356	2448	4409
357	2455	4403
358	2463	4397
359	2470	4391
360	2478	4387
361	2487	4383
362	2494	4376
363	2500	4368
364	2506	4360
365	2513	4353
366	2520	4347
367	2527	4340
368	2533	4332
369	2540	4325
370	2547	4319
371	2554	4312
372	2561	4305
373	2568	4299
374	2577	4295
375	2583	4287
376	2590	4280
377	2597	4273
378	2603	4265
379	2609	4257
380	2616	4250
381	2622	4243
382	2630	4236
383	2637	4230
384	2643	4222
385	2649	4214
386	2655	4206
387	2661	4198
388	2668	4191
389	2674	4183
390	2681	4175
391	2687	4167
392	2692	4158
393	2698	4150
394	2705	4143
395	2711	4135
396	2717	4128
397	2724	4121
398	2731	4113
399	2737	4106
400	2743	4098
401	2750	4091
402	2756	4083
403	2763	4076
404	2770	4070
405	2776	4062
406	2782	4054
407	2789	4047
408	2796	4040
409	2802	4032
410	2808	4025
411	2815	4018
412	2821	4010
413	2828	4003
414	2834	3995
415	2840	3988
416	2847	3980
417	2853	3973
418	2859	3965
419	2866	3958
420	2872	3950
421	2878	3942
422	2884	3935
423	2891	3928
424	2898	3921
425	2903	3912
426	2910	3905
427	2917	3898
428	2923	3890
429	2931	3885
430	2937	3878
431	2944	3871
432	2950	3863
433	2956	3856
434	2963	3848
435	2969	3841
436	2975	3832
437	2981	3825
438	2988	3818
439	2994	3811
440	3001	3804
441	3007	3797
442	3014	3789
443	3019	3781
444	3026	3774
445	3032	3766
446	3039	3759
447	3045	3752
448	3051	3744
449	3058	3738
450	3065	3731
451	3072	3725
452	3080	3719
453	3089	3715
454	3098	3711
455	3108	3708
456	3116	3703
457	3124	3698
458	3131	3691
459	3138	3684
460	3146	3678
461	3153	3672
462	3159	3664
463	3166	3657
464	3172	3650
465	3179	3643
466	3185	3635
467	3191	3628
468	3198	3621
469	3204	3614
470	3211	3606
471	3218	3600
472	3224	3592
473	3231	3585
474	3237	3578
475	3244	3571
476	3250	3564
477	3257	3556
478	3263	3549
479	3269	3542
480	3276	3534
481	3282	3527
482	3288	3520
483	3295	3512
484	3301	3505
485	3308	3499
486	3315	3492
487	3322	3485
488	3329	3479
489	3335	3471
490	3342	3464
491	3348	3457
492	3354	3450
493	3364	3446
494	3371	3439
495	3378	3432
496	3384	3425
497	3390	3417
498	3396	3410
499	3402	3402
500	3409	3395
501	3415	3388
502	3422	3381
503	3428	3374
504	3434	3366
505	3441	3359
506	3447	3352
507	3454	3345
508	3460	3338
509	3467	3331
510	3474	3325
511	3481	3318
512	3488	3311
513	3495	3304
514	3502	3298
515	3509	3291
516	3516	3285
517	3523	3278
518	3530	3272
519	3537	3265
520	3544	3258
521	3551	3251
522	3557	3244
523	3564	3237
524	3570	3230
525	3576	3222
526	3582	3215
527	3588	3207
528	3595	3200
529	3602	3194
530	3610	3189
531	3617	3182
532	3624	3175
533	3631	3169
534	3639	3162
535	3644	3155
536	3651	3148
537	3658	3141
538	3664	3134
539	3670	3126
540	3676	3119
541	3682	3112
542	3689	3104
543	3695	3097
544	3701	3090
545	3708	3083
546	3714	3076
547	3720	3068
548	3726	3061
549	3732	3054
550	3738	3046
551	3745	3039
552	3751	3032
553	3757	3025
554	3763	3017
555	3770	3010
556	3776	3003
557	3785	2998
558	3791	2990
559	3797	2983
560	3803	2976
561	3809	2969
562	3815	2961
563	3822	2954
564	3828	2947
565	3833	2939
566	3839	2932
567	3846	2925
568	3852	2918
569	3858	2910
570	3866	2905
571	3872	2897
572	3879	2890
573	3885	2883
574	3891	2876
575	3897	2869
576	3903	2861
577	3909	2854
578	3916	2847
579	3921	2840
580	3927	2832
581	3934	2825
582	3940	2818
583	3946	2811
584	3952	2803
585	3958	2796
586	3965	2789
587	3971	2782
588	3977	2775
589	3983	2767
590	3989	2760
591	3995	2753
592	4001	2746
593	4007	2738
594	4013	2731
595	4019	2724
596	4025	2717
597	4031	2710
598	4037	2702
599	4043	2695
600	4049	2688
601	4056	2681
602	4062	2674
603	4068	2667
604	4074	2660
605	4080	2653
606	4087	2646
607	4093	2639
608	4099	2632
609	4105	2625
610	4111	2617
611	4118	2610
612	4125	2604
613	4136	2600
614	4143	2593
615	4149	2586
616	4157	2580
617	4164	2573
618	4171	2567
619	4178	2560
620	4185	2554
621	4192	2547
622	4199	2541
623	4206	2534
624	4212	2527
625	4219	2520
626	4225	2513
627	4231	2506
628	4237	2499
629	4244	2492
630	4250	2485
631	4256	2478
632	4262	2471
633	4268	2464
634	4274	2457
635	4281	2450
636	4287	2443
637	4293	2435
638	4299	2428
639	4305	2421
640	4311	2414
641	4318	2407
642	4324	2400
643	4330	2393
644	4336	2386
645	4342	2379
646	4349	2372
647	4355	2365
648	4361	2358
649	4367	2351
650	4373	2344
651	4380	2337
652	4386	2330
653	4392	2323
654	4398	2316
655	4404	2309
656	4411	2302
657	4417	2295
658	4423	2288
659	4429	2281
660	4435	2274
661	4441	2267
662	4447	2260
663	4453	2253
664	4459	2246
665	4465	2239
666	4473	2233
667	4480	2226
668	4486	2219
669	4492	2212
670	4498	2205
671	4504	2198
672	4511	2191
673	4516	2184
674	4523	2177
675	4529	2170
676	4535	2163
677	4542	2157
678	4549	2150
679	4556	2144
680	4563	2137
681	4571	2131
682	4580	2125
683	4588	2119
684	4595	2113
685	4602	2106
686	4610	2100
687	4617	2093
688	4622	2086
689	4629	2080
690	4636	2073
691	4643	2066
692	4650	2060
693	4656	2053
694	4662	2046
695	4669	2039
696	4675	2032
697	4681	2025
698	4687	2018
699	4693	2011
700	4699	2004
701	4706	1997
702	4712	1990
703	4719	1984
704	4725	1977
705	4732	1970
706	4738	1963
707	4743	1956
708	4749	1949
709	4755	1942
710	4761	1935
711	4767	1928
712	4774	1921
713	4780	1914
714	4786	1907
715	4792	1901
716	4798	1894
717	4805	1887
718	4811	1880
719	4817	1873
720	4823	1866
721	4829	1859
722	4835	1852
723	4841	1845
724	4848	1838
725	4855	1832
726	4861	1825
727	4868	1818
728	4874	1811
729	4880	1805
730	4886	1798
731	4892	1791
732	4898	1784
733	4905	1777
734	4911	1770
735	4917	1764
736	4924	1757
737	4930	1750
738	4936	1743
739	4942	1736
740	4949	1730
741	4955	1723
742	4962	1716
743	4968	1709
744	4974	1702
745	4980	1695
746	4987	1689
747	4993	1682
748	5000	1675
749	5007	1669
750	5015	1662
751	5022	1656
752	5029	1649
753	5036	1643
754	5042	1636
755	5050	1630
756	5056	1623
757	5063	1616
758	5069	1609
759	5076	1602
760	5082	1596
761	5087	1589
762	5094	1582
763	5100	1575
764	5106	1568
765	5112	1561
766	5118	1554
767	5124	1548
768	5131	1541
769	5137	1534
770	5143	1527
771	5149	1520
772	5156	1514
773	5162	1507
774	5168	1500
775	5174	1493
776	5180	1486
777	5186	1479
778	5192	1472
779	5197	1466
780	5204	1459
781	5211	1452
782	5218	1446
783	5225	1439
784	5233	1433
785	5241	1426
786	5248	1420
787	5254	1413
788	5261	1407
789	5269	1400
790	5278	1394
791	5286	1388
792	5294	1381
793	5301	1375
794	5308	1368
795	5314	1362
796	5323	1355
797	5329	1349
798	5335	1342
799	5342	1335
800	5348	1328
801	5355	1322
802	5361	1315
803	5367	1308
804	5373	1301
805	5380	1295
806	5386	1288
807	5392	1281
