iter	Passed	Remaining
0	5	5846
1	11	5592
2	16	5510
3	21	5413
4	26	5372
5	32	5310
6	38	5473
7	44	5528
8	50	5524
9	55	5473
10	60	5438
11	66	5442
12	71	5410
13	76	5389
14	81	5372
15	86	5342
16	91	5284
17	96	5253
18	101	5230
19	105	5193
20	110	5162
21	115	5140
22	120	5113
23	125	5087
24	129	5063
25	134	5053
26	139	5035
27	144	5021
28	149	5017
29	154	5006
30	160	5001
31	165	4994
32	170	4982
33	174	4969
34	179	4960
35	184	4948
36	189	4935
37	194	4926
38	201	4958
39	206	4952
40	212	4965
41	217	4953
42	222	4944
43	227	4935
44	241	5135
45	248	5155
46	253	5144
47	258	5135
48	260	5053
49	265	5036
50	269	5021
51	274	5005
52	279	4989
53	283	4975
54	288	4963
55	294	4956
56	298	4942
57	303	4933
58	308	4924
59	313	4912
60	318	4899
61	323	4889
62	328	4878
63	332	4869
64	337	4861
65	342	4851
66	347	4843
67	352	4837
68	358	4831
69	362	4821
70	367	4812
71	372	4803
72	377	4793
73	382	4783
74	387	4773
75	391	4765
76	397	4762
77	402	4753
78	407	4746
79	412	4738
80	417	4734
81	429	4811
82	434	4802
83	439	4795
84	444	4786
85	449	4776
86	454	4768
87	459	4757
88	463	4747
89	468	4737
90	473	4730
91	478	4721
92	483	4713
93	488	4703
94	492	4695
95	497	4685
96	502	4676
97	507	4668
98	512	4659
99	517	4653
100	522	4646
101	526	4639
102	532	4633
103	537	4627
104	542	4620
105	546	4612
106	551	4604
107	556	4595
108	561	4587
109	565	4578
110	570	4571
111	575	4564
112	580	4556
113	585	4548
114	590	4541
115	594	4533
116	599	4524
117	604	4517
118	609	4510
119	614	4503
120	619	4497
121	624	4492
122	629	4486
123	634	4479
124	639	4473
125	644	4468
126	649	4462
127	653	4454
128	658	4447
129	663	4440
130	668	4433
131	673	4427
132	678	4420
133	683	4416
134	688	4408
135	692	4401
136	697	4394
137	702	4387
138	707	4381
139	712	4375
140	717	4369
141	722	4364
142	727	4359
143	732	4357
144	738	4352
145	743	4348
146	748	4344
147	754	4341
148	758	4334
149	763	4328
150	768	4321
151	773	4314
152	778	4308
153	783	4301
154	788	4295
155	792	4289
156	797	4282
157	802	4276
158	807	4269
159	811	4262
160	816	4256
161	821	4250
162	826	4243
163	831	4238
164	836	4231
165	841	4226
166	846	4220
167	851	4215
168	856	4211
169	860	4203
170	865	4197
171	870	4190
172	875	4182
173	879	4176
174	884	4170
175	889	4165
176	894	4159
177	899	4154
178	904	4148
179	909	4142
180	914	4137
181	919	4131
182	924	4127
183	929	4122
184	934	4117
185	939	4112
186	944	4107
187	950	4103
188	955	4099
189	960	4095
190	965	4090
191	970	4084
192	975	4079
193	980	4072
194	985	4066
195	989	4060
196	994	4054
197	999	4047
198	1004	4042
199	1009	4036
200	1013	4030
201	1019	4026
202	1024	4020
203	1028	4014
204	1033	4009
205	1038	4003
206	1043	3998
207	1048	3992
208	1053	3987
209	1058	3981
210	1063	3976
211	1068	3971
212	1073	3965
213	1078	3960
214	1083	3954
215	1088	3949
216	1092	3943
217	1097	3938
218	1102	3932
219	1107	3926
220	1112	3921
221	1117	3915
222	1122	3910
223	1127	3904
224	1131	3898
225	1136	3893
226	1141	3887
227	1146	3881
228	1151	3876
229	1156	3871
230	1161	3866
231	1166	3860
232	1171	3855
233	1176	3850
234	1181	3845
235	1186	3840
236	1190	3834
237	1195	3828
238	1200	3822
239	1205	3817
240	1210	3811
241	1214	3805
242	1219	3799
243	1224	3793
244	1229	3787
245	1233	3782
246	1238	3776
247	1243	3770
248	1248	3765
249	1253	3759
250	1258	3754
251	1263	3749
252	1268	3744
253	1272	3738
254	1278	3733
255	1282	3728
256	1287	3723
257	1292	3718
258	1297	3713
259	1302	3707
260	1307	3702
261	1312	3696
262	1317	3691
263	1322	3685
264	1327	3680
265	1331	3674
266	1336	3668
267	1341	3663
268	1346	3657
269	1350	3652
270	1355	3646
271	1360	3641
272	1365	3636
273	1370	3631
274	1375	3626
275	1397	3667
276	1402	3661
277	1407	3656
278	1412	3650
279	1417	3645
280	1422	3639
281	1426	3632
282	1431	3627
283	1436	3621
284	1441	3615
285	1446	3610
286	1450	3604
287	1455	3598
288	1460	3593
289	1465	3587
290	1469	3581
291	1474	3576
292	1479	3570
293	1484	3565
294	1490	3560
295	1495	3556
296	1500	3550
297	1505	3545
298	1509	3540
299	1514	3534
300	1519	3529
301	1525	3524
302	1529	3519
303	1534	3513
304	1539	3507
305	1543	3501
306	1548	3495
307	1553	3490
308	1558	3485
309	1563	3479
310	1568	3474
311	1572	3468
312	1577	3463
313	1582	3457
314	1587	3452
315	1592	3446
